GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G1900870","1860","Iowa","190","Henry","0870","Henry",,,,,,,,,,,,,,,,,,,,,,,
"G1900890","1860","Iowa","190","Howard","0890","Howard",,,,,,,,,,,,,,,,,,,,,,,
"G1900910","1860","Iowa","190","Humboldt","0910","Humboldt",,,,,,,,,,,,,,,,,,,,,,,
"G1900930","1860","Iowa","190","Ida","0930","Ida",,,,,,,,,,,,,,,,,,,,,,,
"G1900950","1860","Iowa","190","Iowa","0950","Iowa",,,,,,,,,,,,,,,,,,,,,,,
"G1900970","1860","Iowa","190","Jackson","0970","Jackson",,,,,,,,,,,,,,,,,,,,,,,
"G1900990","1860","Iowa","190","Jasper","0990","Jasper",,,,,,,,,,,,,,,,,,,,,,,
"G1901010","1860","Iowa","190","Jefferson","1010","Jefferson",,,,,,,,,,,,,,,,,,,,,,,
"G1901030","1860","Iowa","190","Johnson","1030","Johnson",,,,,,,,,,,,,,,,,,,,,,,
"G1901050","1860","Iowa","190","Jones","1050","Jones",,,,,,,,,,,,,,,,,,,,,,,
"G1901070","1860","Iowa","190","Keokuk","1070","Keokuk",,,,,,,,,,,,,,,,,,,,,,,
"G1901090","1860","Iowa","190","Kossuth","1090","Kossuth",,,,,,,,,,,,,,,,,,,,,,,
"G1901110","1860","Iowa","190","Lee","1110","Lee",,,,,,,,,,,,,,,,,,,,,,,
"G1901130","1860","Iowa","190","Linn","1130","Linn",,,,,,,,,,,,,,,,,,,,,,,
"G1901150","1860","Iowa","190","Louisa","1150","Louisa",,,,,,,,,,,,,,,,,,,,,,,
"G1901170","1860","Iowa","190","Lucas","1170","Lucas",,,,,,,,,,,,,,,,,,,,,,,
"G1901210","1860","Iowa","190","Madison","1210","Madison",,,,,,,,,,,,,,,,,,,,,,,
"G1901230","1860","Iowa","190","Mahaska","1230","Mahaska",,,,,,,,,,,,,,,,,,,,,,,
"G1901250","1860","Iowa","190","Marion","1250","Marion",,,,,,,,,,,,,,,,,,,,,,,
"G1901270","1860","Iowa","190","Marshall","1270","Marshall",,,,,,,,,,,,,,,,,,,,,,,
"G1901290","1860","Iowa","190","Mills","1290","Mills",,,,,,,,,,,,,,,,,,,,,,,
"G1901310","1860","Iowa","190","Mitchell","1310","Mitchell",,,,,,,,,,,,,,,,,,,,,,,
"G1901330","1860","Iowa","190","Monona","1330","Monona",,,,,,,,,,,,,,,,,,,,,,,
"G1901350","1860","Iowa","190","Monroe","1350","Monroe",,,,,,,,,,,,,,,,,,,,,,,
"G1901370","1860","Iowa","190","Montgomery","1370","Montgomery",,,,,,,,,,,,,,,,,,,,,,,
"G1901390","1860","Iowa","190","Muscatine","1390","Muscatine",,,,,,,,,,,,,,,,,,,,,,,
"G1901410","1860","Iowa","190","O Brien","1410","O Brien",,,,,,,,,,,,,,,,,,,,,,,
"G1901430","1860","Iowa","190","Osceola","1430","Osceola",,,,,,,,,,,,,,,,,,,,,,,
"G1901450","1860","Iowa","190","Page","1450","Page",,,,,,,,,,,,,,,,,,,,,,,
"G1901470","1860","Iowa","190","Palo Alto","1470","Palo Alto",,,,,,,,,,,,,,,,,,,,,,,
"G1901490","1860","Iowa","190","Plymouth","1490","Plymouth",,,,,,,,,,,,,,,,,,,,,,,
"G1901510","1860","Iowa","190","Pocahontas","1510","Pocahontas",,,,,,,,,,,,,,,,,,,,,,,
"G1901530","1860","Iowa","190","Polk","1530","Polk",,,,,,,,,,,,,,,,,,,,,,,
"G1901550","1860","Iowa","190","Pottawattamie","1550","Pottawattamie",,,,,,,,,,,,,,,,,,,,,,,
"G1901570","1860","Iowa","190","Poweshiek","1570","Poweshiek",,,,,,,,,,,,,,,,,,,,,,,
"G1901590","1860","Iowa","190","Ringgold","1590","Ringgold",,,,,,,,,,,,,,,,,,,,,,,
"G1901610","1860","Iowa","190","Sac","1610","Sac",,,,,,,,,,,,,,,,,,,,,,,
"G1901630","1860","Iowa","190","Scott","1630","Scott",,,,,,,,,,,,,,,,,,,,,,,
"G1901650","1860","Iowa","190","Shelby","1650","Shelby",,,,,,,,,,,,,,,,,,,,,,,
"G1901670","1860","Iowa","190","Sioux","1670","Sioux",,,,,,,,,,,,,,,,,,,,,,,
"G1901690","1860","Iowa","190","Story","1690","Story",,,,,,,,,,,,,,,,,,,,,,,
"G1901710","1860","Iowa","190","Tama","1710","Tama",,,,,,,,,,,,,,,,,,,,,,,
"G1901730","1860","Iowa","190","Taylor","1730","Taylor",,,,,,,,,,,,,,,,,,,,,,,
"G1901750","1860","Iowa","190","Union","1750","Union",,,,,,,,,,,,,,,,,,,,,,,
"G1901770","1860","Iowa","190","Van Buren","1770","Van Buren",,,,,,,,,,,,,,,,,,,,,,,
"G1901790","1860","Iowa","190","Wapello","1790","Wapello",,,,,,,,,,,,,,,,,,,,,,,
"G1901810","1860","Iowa","190","Warren","1810","Warren",,,,,,,,,,,,,,,,,,,,,,,
"G1901830","1860","Iowa","190","Washington","1830","Washington",,,,,,,,,,,,,,,,,,,,,,,
"G1901850","1860","Iowa","190","Wayne","1850","Wayne",,,,,,,,,,,,,,,,,,,,,,,
"G1901870","1860","Iowa","190","Webster","1870","Webster",,,,,,,,,,,,,,,,,,,,,,,
"G1901890","1860","Iowa","190","Winnebago","1890","Winnebago",,,,,,,,,,,,,,,,,,,,,,,
"G1901910","1860","Iowa","190","Winneshiek","1910","Winneshiek",,,,,,,,,,,,,,,,,,,,,,,
"G1901930","1860","Iowa","190","Woodbury","1930","Woodbury",,,,,,,,,,,,,,,,,,,,,,,
"G1901950","1860","Iowa","190","Worth","1950","Worth",,,,,,,,,,,,,,,,,,,,,,,
"G1901970","1860","Iowa","190","Wright","1970","Wright",,,,,,,,,,,,,,,,,,,,,,,
"G2050015","1860","Kansas Territory","205","Allen","0015","Allen",,,,,,,,,,,,,,,,,,,,,,,
"G2050035","1860","Kansas Territory","205","Anderson","0035","Anderson",,,,,,,,,,,,,,,,,,,,,,,
"G2050075","1860","Kansas Territory","205","Atchison","0075","Atchison",,,,,,,,,,,,,,,,,,,,,,,
"G2050095","1860","Kansas Territory","205","Bourbon","0095","Bourbon",,,,,,,,,,,,,,,,,,,,,,,
"G2050115","1860","Kansas Territory","205","Breckinridge","0115","Breckinridge",,,,,,,,,,,,,,,,,,,,,,,
"G2050135","1860","Kansas Territory","205","Brown","0135","Brown",,,,,,,,,,,,,,,,,,,,,,,
"G2050155","1860","Kansas Territory","205","Butler","0155","Butler",,,,,,,,,,,,,,,,,,,,,,,
"G2050175","1860","Kansas Territory","205","Chase","0175","Chase",,,,,,,,,,,,,,,,,,,,,,,
"G2050195","1860","Kansas Territory","205","Clay","0195","Clay",,,,,,,,,,,,,,,,,,,,,,,
"G2050215","1860","Kansas Territory","205","Coffey","0215","Coffey",,,,,,,,,,,,,,,,,,,,,,,
"G2050255","1860","Kansas Territory","205","Davis","0255","Davis",,,,,,,,,,,,,,,,,,,,,,,
"G2050275","1860","Kansas Territory","205","Dickinson","0275","Dickinson",,,,,,,,,,,,,,,,,,,,,,,
"G2050295","1860","Kansas Territory","205","Doniphan","0295","Doniphan",,,,,,,,,,,,,,,,,,,,,,,
"G2050315","1860","Kansas Territory","205","Dorn","0315","Dorn",,,,,,,,,,,,,,,,,,,,,,,
"G2050335","1860","Kansas Territory","205","Douglas","0335","Douglas",,,,,,,,,,,,,,,,,,,,,,,
"G2050355","1860","Kansas Territory","205","Franklin","0355","Franklin",,,,,,,,,,,,,,,,,,,,,,,
"G2050375","1860","Kansas Territory","205","Godfrey","0375","Godfrey",,,,,,,,,,,,,,,,,,,,,,,
"G2050395","1860","Kansas Territory","205","Greenwood","0395","Greenwood",,,,,,,,,,,,,,,,,,,,,,,
"G2050415","1860","Kansas Territory","205","Hunter","0415","Hunter",,,,,,,,,,,,,,,,,,,,,,,
"G2050435","1860","Kansas Territory","205","Jackson","0435","Jackson",,,,,,,,,,,,,,,,,,,,,,,
"G2050455","1860","Kansas Territory","205","Jefferson","0455","Jefferson",,,,,,,,,,,,,,,,,,,,,,,
"G2050475","1860","Kansas Territory","205","Johnson","0475","Johnson",,,,,,,,,,,,,,,,,,,,,,,
"G2050495","1860","Kansas Territory","205","Leavenworth","0495","Leavenworth",,,,,,,,,,,,,,,,,,,,,,,
"G2050515","1860","Kansas Territory","205","Linn","0515","Linn",,,,,,,,,,,,,,,,,,,,,,,
"G2050535","1860","Kansas Territory","205","McGhee","0535","Mcghee",,,,,,,,,,,,,,,,,,,,,,,
"G2050555","1860","Kansas Territory","205","Madison","0555","Madison",,,,,,,,,,,,,,,,,,,,,,,
"G2050575","1860","Kansas Territory","205","Marion","0575","Marion",,,,,,,,,,,,,,,,,,,,,,,
"G2050595","1860","Kansas Territory","205","Marshall","0595","Marshall",,,,,,,,,,,,,,,,,,,,,,,
"G2050615","1860","Kansas Territory","205","Miami/Lykins","0615","Miami/Lykins",,,,,,,,,,,,,,,,,,,,,,,
"G2050635","1860","Kansas Territory","205","Morris","0635","Morris",,,,,,,,,,,,,,,,,,,,,,,
"G2050655","1860","Kansas Territory","205","Nemaha","0655","Nemaha",,,,,,,,,,,,,,,,,,,,,,,
"G2050695","1860","Kansas Territory","205","Osage","0695","Osage",,,,,,,,,,,,,,,,,,,,,,,
"G2050715","1860","Kansas Territory","205","Otoe","0715","Otoe",,,,,,,,,,,,,,,,,,,,,,,
"G2050735","1860","Kansas Territory","205","Pottawatomie","0735","Pottawatomie",,,,,,,,,,,,,,,,,,,,,,,
"G2050755","1860","Kansas Territory","205","Riley","0755","Riley",,,,,,,,,,,,,,,,,,,,,,,
"G2050795","1860","Kansas Territory","205","Shawnee","0795","Shawnee",,,,,,,,,,,,,,,,,,,,,,,
"G2050815","1860","Kansas Territory","205","Wabaunsee","0815","Wabaunsee",,,,,,,,,,,,,,,,,,,,,,,
"G2050835","1860","Kansas Territory","205","Washington","0835","Washington",,,,,,,,,,,,,,,,,,,,,,,
"G2050855","1860","Kansas Territory","205","Wilson","0855","Wilson",,,,,,,,,,,,,,,,,,,,,,,
"G2050875","1860","Kansas Territory","205","Woodson","0875","Woodson",,,,,,,,,,,,,,,,,,,,,,,
"G2052090","1860","Kansas Territory","205","Wyandotte","2090","Wyandotte",,,,,,,,,,,,,,,,,,,,,,,
"G2100010","1860","Kentucky","210","Adair","0010","Adair",98,46,32,38,23,16,14,12,13,22,11,3,2,0,1,0,0,0,0,0,0,331,1602
"G2100030","1860","Kentucky","210","Allen","0030","Allen",76,33,29,23,22,21,10,12,9,18,8,6,3,1,1,0,0,0,0,0,0,272,1522
"G2100050","1860","Kentucky","210","Anderson","0050","Anderson",62,39,28,31,17,20,13,11,8,22,13,2,1,0,0,0,0,0,0,0,0,267,1357
"G2100070","1860","Kentucky","210","Ballard","0070","Ballard",89,48,30,29,19,17,14,13,10,30,9,8,3,1,0,0,0,0,0,0,0,320,1718
"G2100090","1860","Kentucky","210","Barren","0090","Barren",152,94,78,52,56,52,34,28,21,67,25,19,8,3,0,0,0,0,0,0,0,689,4078
"G2100110","1860","Kentucky","210","Bath","0110","Bath",80,58,52,34,38,30,28,15,11,48,17,13,0,0,1,0,0,0,0,0,0,425,2500
"G2100150","1860","Kentucky","210","Boone","0150","Boone",137,78,51,50,28,29,21,15,13,19,8,1,0,0,0,0,0,0,0,0,0,450,1745
"G2100170","1860","Kentucky","210","Bourbon","0170","Bourbon",133,72,78,73,69,52,49,49,40,128,68,33,10,1,2,0,1,0,0,0,0,858,6767
"G2100190","1860","Kentucky","210","Boyd","0190","Boyd",17,13,7,2,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,49,156
"G2100210","1860","Kentucky","210","Boyle","0210","Boyle",102,68,46,28,37,37,30,18,27,58,28,20,3,0,1,0,0,0,0,0,0,503,3279
"G2100230","1860","Kentucky","210","Bracken","0230","Bracken",50,25,20,28,10,6,9,8,5,10,3,2,0,0,0,0,0,0,0,0,0,176,750
"G2100250","1860","Kentucky","210","Breathitt","0250","Breathitt",16,6,3,5,4,3,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,46,190
"G2100270","1860","Kentucky","210","Breckinridge","0270","Breckinridge",89,74,48,43,26,23,23,15,18,37,15,10,2,1,0,0,0,0,0,0,0,424,2340
"G2100290","1860","Kentucky","210","Bullitt","0290","Bullitt",54,43,37,32,15,26,9,16,5,24,9,6,1,0,0,0,0,0,0,0,0,277,1458
"G2100310","1860","Kentucky","210","Butler","0310","Butler",73,24,18,21,8,10,16,7,4,10,5,0,0,0,0,0,0,0,0,0,0,196,770
"G2100330","1860","Kentucky","210","Caldwell","0330","Caldwell",75,61,41,35,17,28,21,21,11,29,14,16,2,2,0,0,1,0,0,0,0,374,2406
"G2100350","1860","Kentucky","210","Calloway","0350","Calloway",77,56,39,27,26,16,20,10,10,28,5,6,0,0,0,0,0,0,0,0,0,320,1492
"G2100370","1860","Kentucky","210","Campbell","0370","Campbell",23,10,9,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,116
"G2100410","1860","Kentucky","210","Carroll","0410","Carroll",66,42,30,16,13,16,16,9,1,22,5,2,0,0,0,0,0,0,0,0,0,238,1045
"G2100430","1860","Kentucky","210","Carter","0430","Carter",12,4,9,5,5,7,2,3,1,6,1,0,0,1,0,0,0,0,0,0,0,56,309
"G2100450","1860","Kentucky","210","Casey","0450","Casey",20,15,15,8,4,10,6,6,5,12,6,1,0,0,0,1,0,0,0,0,0,109,666
"G2100470","1860","Kentucky","210","Christian","0470","Christian",132,112,87,65,64,48,48,36,28,124,90,84,33,14,9,5,0,0,0,0,0,979,9951
"G2100490","1860","Kentucky","210","Clark","0490","Clark",147,111,74,53,50,39,57,30,27,94,51,20,2,1,1,0,0,0,0,0,0,757,4762
"G2100510","1860","Kentucky","210","Clay","0510","Clay",26,12,4,2,5,6,4,0,3,5,1,1,2,0,0,0,0,0,0,0,0,71,349
"G2100530","1860","Kentucky","210","Clinton","0530","Clinton",30,12,10,7,3,3,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,77,258
"G2100550","1860","Kentucky","210","Crittenden","0550","Crittenden",61,37,22,25,14,12,8,6,6,11,3,4,2,0,0,0,0,0,0,0,0,211,939
"G2100570","1860","Kentucky","210","Cumberland","0570","Cumberland",61,41,31,10,16,17,9,9,9,24,13,10,1,0,0,0,0,0,0,0,0,251,1413
"G2100590","1860","Kentucky","210","Daviess","0590","Daviess",136,111,82,64,39,34,27,28,19,57,15,16,3,3,2,1,0,0,0,0,0,637,3515
"G2100610","1860","Kentucky","210","Edmonson","0610","Edmonson",16,12,10,8,1,2,4,0,3,5,0,2,0,0,0,0,0,0,0,0,0,63,273
"G2100650","1860","Kentucky","210","Estill","0650","Estill",21,21,11,12,7,5,6,6,7,10,1,0,0,0,0,0,0,0,0,0,0,107,507
"G2100670","1860","Kentucky","210","Fayette","0670","Fayette",177,121,103,113,73,81,64,57,54,175,84,74,12,6,6,0,0,0,0,0,0,1200,10015
"G2100690","1860","Kentucky","210","Fleming","0690","Fleming",194,83,50,30,24,24,27,20,10,38,9,3,1,0,0,0,0,0,0,0,0,513,2018
"G2100710","1860","Kentucky","210","Floyd","0710","Floyd",16,5,5,2,4,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,39,147
"G2100730","1860","Kentucky","210","Franklin","0730","Franklin",109,74,70,48,47,40,29,18,16,56,27,15,5,1,0,1,0,0,0,0,0,556,3384
"G2100750","1860","Kentucky","210","Fulton","0750","Fulton",73,44,31,20,16,9,12,9,2,12,7,5,1,1,0,0,0,0,0,0,0,242,1078
"G2100770","1860","Kentucky","210","Gallatin","0770","Gallatin",58,21,14,10,10,14,5,8,7,9,3,3,0,0,0,0,0,0,0,0,0,162,708
"G2100790","1860","Kentucky","210","Garrard","0790","Garrard",153,73,49,52,37,34,31,24,18,65,30,21,2,2,0,0,0,0,0,0,0,591,3578
"G2100810","1860","Kentucky","210","Grant","0810","Grant",67,37,12,18,7,11,11,5,7,8,2,2,0,0,0,0,0,0,0,0,0,187,696
"G2100830","1860","Kentucky","210","Graves","0830","Graves",128,75,74,70,41,38,27,20,20,45,17,9,2,0,0,0,0,0,0,0,0,566,2845
"G2100850","1860","Kentucky","210","Grayson","0850","Grayson",31,16,12,9,6,4,2,4,6,1,1,0,1,0,0,0,0,0,0,0,0,93,351
"G2100870","1860","Kentucky","210","Green","0870","Green",69,43,40,27,24,18,13,13,15,39,15,13,5,3,2,0,0,0,0,0,0,339,2372
"G2100890","1860","Kentucky","210","Greenup","0890","Greenup",30,12,9,9,8,4,6,3,1,3,0,3,0,0,0,0,0,0,0,0,0,88,363
"G2100910","1860","Kentucky","210","Hancock","0910","Hancock",34,23,15,18,13,12,6,4,3,12,3,5,0,0,0,0,0,0,0,0,0,148,818
"G2100930","1860","Kentucky","210","Hardin","0930","Hardin",130,67,52,51,39,35,35,22,17,37,13,6,1,0,2,0,0,0,0,0,0,507,2530
"G2100950","1860","Kentucky","210","Harlan","0950","Harlan",3,4,1,3,3,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,19,127
"G2100970","1860","Kentucky","210","Harrison","0970","Harrison",138,84,60,38,54,38,28,23,28,51,26,11,6,1,0,0,0,0,0,0,0,586,3289
"G2100990","1860","Kentucky","210","Hart","0990","Hart",99,59,37,29,16,14,14,8,9,21,10,6,0,0,0,0,0,0,0,0,0,322,1395
"G2101010","1860","Kentucky","210","Henderson","1010","Henderson",112,111,85,58,44,43,26,28,19,85,38,35,16,4,4,2,2,0,0,0,0,712,5767
"G2101030","1860","Kentucky","210","Henry","1030","Henry",159,104,83,72,54,33,42,21,15,59,27,5,2,0,0,0,0,0,0,0,0,676,3311
"G2101050","1860","Kentucky","210","Hickman","1050","Hickman",85,52,19,26,21,16,14,15,8,17,7,3,0,0,0,0,0,0,0,0,0,283,1249
"G2101070","1860","Kentucky","210","Hopkins","1070","Hopkins",122,72,50,37,29,22,30,13,8,30,11,7,0,2,0,0,0,0,0,0,0,433,2009
"G2101090","1860","Kentucky","210","Jackson","1090","Jackson",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
"G2101110","1860","Kentucky","210","Jefferson","1110","Jefferson",700,354,248,208,158,122,80,74,67,140,45,50,8,2,2,0,0,0,0,0,0,2258,10304
"G2101130","1860","Kentucky","210","Jessamine","1130","Jessamine",83,58,47,30,37,34,26,25,21,70,27,17,13,3,1,0,0,0,0,0,0,492,3698
"G2101150","1860","Kentucky","210","Johnson","1150","Johnson",2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27
"G2101170","1860","Kentucky","210","Kenton","1170","Kenton",97,43,28,11,11,4,8,4,1,6,0,1,0,0,0,0,0,0,0,0,0,214,567
"G2101210","1860","Kentucky","210","Knox","1210","Knox",28,17,12,11,7,3,3,10,5,5,4,1,0,0,0,0,0,0,0,0,0,106,489
"G2101230","1860","Kentucky","210","Larue","1230","Larue",52,41,22,15,21,10,8,6,7,18,5,0,0,0,0,0,0,0,0,0,0,205,900
"G2101250","1860","Kentucky","210","Laurel","1250","Laurel",9,3,4,5,1,5,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,35,186
"G2101270","1860","Kentucky","210","Lawrence","1270","Lawrence",8,11,5,1,2,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,38,146
"G2101330","1860","Kentucky","210","Letcher","1330","Letcher",12,2,4,1,3,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,29,108
"G2101350","1860","Kentucky","210","Lewis","1350","Lewis",27,13,7,7,3,4,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,71,230
"G2101370","1860","Kentucky","210","Lincoln","1370","Lincoln",77,70,44,48,26,37,30,23,18,70,26,20,7,0,0,0,0,0,0,0,0,496,3430
"G2101390","1860","Kentucky","210","Livingston","1390","Livingston",75,38,24,23,20,11,16,7,9,13,7,6,2,0,0,0,0,0,0,0,0,251,1222
"G2101410","1860","Kentucky","210","Logan","1410","Logan",267,126,110,76,82,48,49,51,37,110,59,31,6,3,1,0,0,0,0,0,0,1056,6356
"G2101430","1860","Kentucky","210","Lyon","1430","Lyon",50,24,20,17,9,11,6,5,5,16,5,6,2,1,0,0,1,0,0,0,0,178,1094
"G2101450","1860","Kentucky","210","McCracken","1450","Mccracken",99,67,37,25,31,23,16,19,12,26,5,3,4,0,1,0,0,0,0,0,0,368,1738
"G2101490","1860","Kentucky","210","McLean","1490","Mclean",103,43,27,19,21,17,10,7,4,8,2,2,0,0,0,0,0,0,0,0,0,263,888
"G2101510","1860","Kentucky","210","Madison","1510","Madison",169,100,91,68,63,56,39,41,29,102,61,43,13,1,1,0,0,0,0,0,0,877,6034
"G2101530","1860","Kentucky","210","Magoffin","1530","Magoffin",3,2,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,71
"G2101550","1860","Kentucky","210","Marion","1550","Marion",140,80,67,54,45,40,26,19,22,62,27,18,5,0,0,0,0,0,0,0,0,605,3479
"G2101570","1860","Kentucky","210","Marshall","1570","Marshall",57,22,13,6,8,4,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,123,351
"G2101610","1860","Kentucky","210","Mason","1610","Mason",194,99,62,71,55,37,41,29,24,79,21,11,3,1,0,0,0,0,0,0,0,727,3772
"G2101630","1860","Kentucky","210","Meade","1630","Meade",100,60,30,31,30,25,20,14,5,29,17,6,3,1,0,0,0,0,0,0,0,371,1932
"G2101670","1860","Kentucky","210","Mercer","1670","Mercer",135,86,56,54,47,29,27,16,20,55,28,15,5,1,0,0,0,0,0,0,0,574,3274
"G2101690","1860","Kentucky","210","Metcalfe","1690","Metcalfe",40,27,18,18,18,13,8,8,5,10,4,2,0,0,0,0,0,0,0,0,0,171,781
"G2101710","1860","Kentucky","210","Monroe","1710","Monroe",57,29,23,23,12,10,6,3,6,13,1,6,0,1,1,0,0,0,0,0,0,191,922
"G2101730","1860","Kentucky","210","Montgomery","1730","Montgomery",89,63,41,34,24,31,36,29,25,50,22,8,2,1,0,0,0,0,0,0,0,455,2752
"G2101750","1860","Kentucky","210","Morgan","1750","Morgan",19,9,6,3,6,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,51,170
"G2101770","1860","Kentucky","210","Muhlenberg","1770","Muhlenberg",80,62,30,29,25,20,16,11,14,28,6,4,0,2,0,0,0,0,0,0,0,327,1584
"G2101790","1860","Kentucky","210","Nelson","1790","Nelson",274,122,101,73,61,56,51,39,24,100,39,25,7,3,2,0,0,0,0,0,0,977,5530
"G2101810","1860","Kentucky","210","Nicholas","1810","Nicholas",91,56,48,35,29,19,19,22,13,21,8,4,0,0,0,0,0,0,0,0,0,365,1614
"G2101830","1860","Kentucky","210","Ohio","1830","Ohio",73,49,40,27,23,17,14,11,4,22,5,5,0,0,0,0,0,0,0,0,0,290,1292
"G2101850","1860","Kentucky","210","Oldham","1850","Oldham",65,43,35,25,26,27,24,16,12,60,17,10,3,1,0,0,0,0,0,0,0,364,2431
"G2101870","1860","Kentucky","210","Owen","1870","Owen",107,65,34,27,34,27,21,19,7,22,9,3,1,0,0,0,0,0,0,0,0,376,1660
"G2101890","1860","Kentucky","210","Owsley","1890","Owsley",10,3,3,4,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,27,112
"G2101910","1860","Kentucky","210","Pendleton","1910","Pendleton",46,25,8,8,10,4,5,5,3,5,1,1,0,0,0,0,0,0,0,0,0,121,424
"G2101930","1860","Kentucky","210","Perry","1930","Perry",15,2,5,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28,73
"G2101950","1860","Kentucky","210","Pike","1950","Pike",9,3,8,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,28,97
"G2101970","1860","Kentucky","210","Powell","1970","Powell",10,4,5,1,1,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,31,125
"G2101990","1860","Kentucky","210","Pulaski","1990","Pulaski",77,41,38,23,23,17,15,7,5,18,8,6,2,0,0,0,0,0,0,0,0,280,1330
"G2102030","1860","Kentucky","210","Rockcastle","2030","Rockcastle",28,19,11,6,5,5,4,3,2,9,0,0,0,0,0,0,0,0,0,0,0,92,357
"G2102050","1860","Kentucky","210","Rowan","2050","Rowan",12,6,3,1,0,2,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,32,142
"G2102070","1860","Kentucky","210","Russell","2070","Russell",33,19,12,18,12,7,4,6,5,8,4,0,0,0,0,0,0,0,0,0,0,128,559
"G2102090","1860","Kentucky","210","Scott","2090","Scott",285,110,75,67,53,48,42,35,30,93,59,33,9,3,1,0,0,0,0,0,0,943,5744
"G2102110","1860","Kentucky","210","Shelby","2110","Shelby",202,123,86,86,76,74,65,61,42,129,56,26,10,3,0,0,0,0,0,0,0,1039,6634
"G2102130","1860","Kentucky","210","Simpson","2130","Simpson",115,61,35,36,29,26,25,13,18,41,17,8,2,0,1,0,0,0,0,0,0,427,2307
"G2102150","1860","Kentucky","210","Spencer","2150","Spencer",82,59,33,31,53,23,23,15,16,40,12,11,0,0,0,0,0,0,0,0,0,398,2205
"G2102170","1860","Kentucky","210","Taylor","2170","Taylor",81,33,35,17,11,11,14,10,8,28,11,9,5,0,0,0,0,0,0,0,0,273,1597
"G2102190","1860","Kentucky","210","Todd","2190","Todd",79,52,45,30,30,29,26,37,20,68,44,41,12,8,3,1,0,0,0,0,0,525,4849
"G2102210","1860","Kentucky","210","Trigg","2210","Trigg",107,52,50,41,22,29,27,20,14,59,23,26,7,0,0,0,0,1,0,0,0,478,3448
"G2102230","1860","Kentucky","210","Trimble","2230","Trimble",55,26,19,17,12,8,8,11,6,15,4,0,0,0,1,0,0,0,0,0,0,182,831
"G2102250","1860","Kentucky","210","Union","2250","Union",89,77,55,51,32,29,28,18,19,45,23,15,1,3,0,0,0,0,0,0,0,485,3105
"G2102270","1860","Kentucky","210","Warren","2270","Warren",181,75,71,75,53,50,42,43,30,95,27,38,9,1,1,1,0,0,0,0,0,792,5318
"G2102290","1860","Kentucky","210","Washington","2290","Washington",78,50,44,29,24,29,22,23,17,50,21,17,5,1,0,0,0,0,0,0,0,420,2822
"G2102310","1860","Kentucky","210","Wayne","2310","Wayne",50,30,25,16,22,14,11,4,9,16,3,3,2,0,0,0,0,0,0,0,0,205,987
"G2102330","1860","Kentucky","210","Webster","2330","Webster",62,39,28,39,24,10,11,16,6,11,3,5,0,0,0,0,0,0,0,0,0,244,1083
"G2102350","1860","Kentucky","210","Whitley","2350","Whitley",18,15,6,4,5,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,54,183
"G2102390","1860","Kentucky","210","Woodford","2390","Woodford",81,60,69,28,44,36,35,52,31,102,32,42,15,6,3,0,1,0,0,0,0,637,5829
"G2200050","1860","Louisiana","220","Ascension","0050","Ascension",51,26,28,16,22,18,19,6,8,25,9,10,4,5,4,8,10,3,3,2,0,277,7376
"G2200070","1860","Louisiana","220","Assumption","0070","Assumption",93,46,43,32,32,26,20,20,18,31,24,26,11,11,14,15,14,1,1,0,0,478,8096
"G2200090","1860","Louisiana","220","Avoyelles","0090","Avoyelles",85,55,41,45,36,32,19,22,14,68,41,39,24,12,5,6,9,1,0,0,0,554,7185
"G2200130","1860","Louisiana","220","Bienville","0130","Bienville",,,,,,,,,,,,,,,,,,,,,,,5000
"G2200150","1860","Louisiana","220","Bossier","0150","Bossier",36,34,39,27,23,24,10,16,11,41,37,50,23,13,21,14,8,0,0,0,0,427,8000
